<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<VAL>,<COUNT>,<PREVIOUS>,<COL1>,<COL2>,<TSEClose>,<MarketValue>,<ShareCount>
ZAGROS,d,20120125,000000,12401,13407,12401,13200,259721,3435179495,95,13005,زاگرس,13901105,000000,13226,31680000000000,2400000000
ZAGROS,d,20120128,000000,13300,13300,12760,12770,11800,150948000,3,13226,زاگرس,13901108,000000,12792,30648000000000,2400000000
ZAGROS,d,20120129,000000,12185,13010,12185,13000,114464,1483450835,28,12792,زاگرس,13901109,000000,12960,31200000000000,2400000000
ZAGROS,d,20120130,000000,13000,13340,13000,13300,230092,3055853790,46,12960,زاگرس,13901110,000000,13281,31920000000000,2400000000
ZAGROS,d,20120131,000000,13110,13400,13110,13251,420885,5597316443,30,13281,زاگرس,13901111,000000,13299,31802400000000,2400000000
ZAGROS,d,20120201,000000,13201,13201,13002,13200,43735,575018819,14,13299,زاگرس,13901112,000000,13148,31680000000000,2400000000
ZAGROS,d,20120204,000000,13000,13300,12950,13300,130303,1704385600,27,13148,زاگرس,13901115,000000,13080,31920000000000,2400000000
ZAGROS,d,20120205,000000,13000,13000,12950,13000,59585,773283815,22,13080,زاگرس,13901116,000000,12978,31200000000000,2400000000
ZAGROS,d,20120206,000000,12903,13000,12903,13000,93295,1212227295,25,12978,زاگرس,13901117,000000,12993,31200000000000,2400000000
ZAGROS,d,20120207,000000,13000,13000,12910,12911,61621,799698410,15,12993,زاگرس,13901118,000000,12978,30986400000000,2400000000
ZAGROS,d,20120208,000000,12998,12998,12702,12702,22617,288400400,8,12978,زاگرس,13901119,000000,12751,30484800000000,2400000000
ZAGROS,d,20120213,000000,12700,12701,12500,12500,148882,1885172000,25,12751,زاگرس,13901124,000000,12662,30000000000000,2400000000
ZAGROS,d,20120214,000000,12500,12500,12040,12045,124090,1497358562,23,12662,زاگرس,13901125,000000,12067,28908000000000,2400000000
